Message,Label
"I received an email asking me to click a link to verify my bank account",Phishing
"My identity was stolen and used to open a credit card",Identity Theft
"I lost money after investing in a fake cryptocurrency scheme",Investment Fraud
"Someone filed taxes in my name without my knowledge",Tax Fraud
"I noticed unusual transactions on my credit card bill",Credit Card Fraud
"I was charged for something I didn't purchase",Billing Fraud
"My bank account was accessed without my permission",Account Hacking
"I got a suspicious email offering a too-good-to-be-true loan",Loan Scam
"Someone hacked my social media account and sent spam messages",Social Media Fraud
"I received a call asking for my OTP for a transaction I didn’t initiate",OTP Fraud
"A fake website scammed me while shopping online",Online Shopping Fraud
"Someone impersonated me to steal my medical records",Healthcare Fraud
"My PayPal account was accessed by someone else",PayPal Fraud
